timestamp,date,version,fees_usd
1672099200,2022-12-27,Frax Swap,3770.0
1672185600,2022-12-28,Frax Swap,6401.0
1672272000,2022-12-29,Frax Swap,2234.0
1672272000,2022-12-29,Frax Ether,45191.0
1672358400,2022-12-30,Frax Swap,5751.0
1672444800,2022-12-31,Frax Swap,3900.0
1672531200,2023-01-01,Frax Swap,4745.0
1672617600,2023-01-02,Frax Swap,22880.0
1672704000,2023-01-03,Frax Swap,5432.0
1672790400,2023-01-04,Frax Swap,5370.0
1672876800,2023-01-05,Frax Swap,1601.0
1672876800,2023-01-05,Frax Ether,49687.0
1672963200,2023-01-06,Frax Swap,4117.0
1673049600,2023-01-07,Frax Swap,1696.0
1673136000,2023-01-08,Frax Swap,7409.0
1673222400,2023-01-09,Frax Swap,9965.0
1673308800,2023-01-10,Frax Swap,3648.0
1673395200,2023-01-11,Frax Swap,4885.0
1673481600,2023-01-12,Frax Swap,16196.0
1673481600,2023-01-12,Frax Ether,54713.0
1673568000,2023-01-13,Frax Swap,11264.0
1673654400,2023-01-14,Frax Swap,19106.0
1673740800,2023-01-15,Frax Swap,48371.0
1673827200,2023-01-16,Frax Swap,54687.0
1673913600,2023-01-17,Frax Swap,29199.0
1674000000,2023-01-18,Frax Swap,36694.0
1674086400,2023-01-19,Frax Swap,32038.0
1674086400,2023-01-19,Frax Ether,90085.0
1674172800,2023-01-20,Frax Swap,42445.0
1674259200,2023-01-21,Frax Swap,27113.0
1674345600,2023-01-22,Frax Swap,35645.0
1674432000,2023-01-23,Frax Swap,25014.0
1674518400,2023-01-24,Frax Swap,21673.0
1674604800,2023-01-25,Frax Swap,24360.0
1674691200,2023-01-26,Frax Swap,18937.0
1674691200,2023-01-26,Frax Ether,99261.0
1674777600,2023-01-27,Frax Swap,16055.0
1674864000,2023-01-28,Frax Swap,26017.0
1674950400,2023-01-29,Frax Swap,11880.0
1675036800,2023-01-30,Frax Swap,14214.0
1675123200,2023-01-31,Frax Swap,8074.0
1675209600,2023-02-01,Frax Swap,23395.0
1675296000,2023-02-02,Frax Swap,29311.0
1675296000,2023-02-02,Frax Ether,112737.0
1675382400,2023-02-03,Frax Swap,37870.0
1675468800,2023-02-04,Frax Swap,9825.0
1675555200,2023-02-05,Frax Swap,14727.0
1675641600,2023-02-06,Frax Swap,46823.0
1675728000,2023-02-07,Frax Swap,51246.0
1675814400,2023-02-08,Frax Swap,29284.0
1675900800,2023-02-09,Frax Swap,103091.0
1675900800,2023-02-09,Frax Ether,117843.0
1675987200,2023-02-10,Frax Swap,35411.0
1676073600,2023-02-11,Frax Swap,14598.0
1676160000,2023-02-12,Frax Swap,19846.0
1676246400,2023-02-13,Frax Swap,53868.0
1676332800,2023-02-14,Frax Swap,34209.0
1676419200,2023-02-15,Frax Swap,30541.0
1676505600,2023-02-16,Frax Swap,28577.0
1676505600,2023-02-16,Frax Ether,141398.0
1676592000,2023-02-17,Frax Swap,36046.0
1676678400,2023-02-18,Frax Swap,19554.0
1676764800,2023-02-19,Frax Swap,9835.0
1676851200,2023-02-20,Frax Swap,14560.0
1676937600,2023-02-21,Frax Swap,20555.0
1677024000,2023-02-22,Frax Swap,32281.0
1677110400,2023-02-23,Frax Swap,29181.0
1677110400,2023-02-23,Frax Ether,158918.0
1677196800,2023-02-24,Frax Swap,13044.0
1677283200,2023-02-25,Frax Swap,16703.0
1677369600,2023-02-26,Frax Swap,7988.0
1677456000,2023-02-27,Frax Swap,17287.0
1677542400,2023-02-28,Frax Swap,22672.0
1677628800,2023-03-01,Frax Swap,21916.0
1677715200,2023-03-02,Frax Swap,14117.0
1677715200,2023-03-02,Frax Ether,138887.0
1677801600,2023-03-03,Frax Swap,16281.0
1677888000,2023-03-04,Frax Swap,10742.0
1677974400,2023-03-05,Frax Swap,6078.0
1678060800,2023-03-06,Frax Swap,8458.0
1678147200,2023-03-07,Frax Swap,11571.0
1678233600,2023-03-08,Frax Swap,9360.0
1678320000,2023-03-09,Frax Swap,41153.0
1678320000,2023-03-09,Frax Ether,133689.0
1678406400,2023-03-10,Frax Swap,28121.0
1678492800,2023-03-11,Frax Swap,59163.0
1678579200,2023-03-12,Frax Swap,26886.0
1678752000,2023-03-14,Frax Swap,28866.0
1678838400,2023-03-15,Frax Swap,20610.0
1678924800,2023-03-16,Frax Swap,13934.0
1678924800,2023-03-16,Frax Ether,276698.0
1679011200,2023-03-17,Frax Swap,17290.0
1679097600,2023-03-18,Frax Swap,13802.0
1679184000,2023-03-19,Frax Swap,11427.0
1679270400,2023-03-20,Frax Swap,11185.0
1679356800,2023-03-21,Frax Swap,14089.0
1679443200,2023-03-22,Frax Swap,14870.0
1679529600,2023-03-23,Frax Swap,8010.0
1679529600,2023-03-23,Frax Ether,185257.0
1679616000,2023-03-24,Frax Swap,6739.0
1679702400,2023-03-25,Frax Swap,3995.0
1679788800,2023-03-26,Frax Swap,5070.0
1679875200,2023-03-27,Frax Swap,5614.0
1679961600,2023-03-28,Frax Swap,8863.0
1680048000,2023-03-29,Frax Swap,19113.0
1680134400,2023-03-30,Frax Swap,14954.0
1680134400,2023-03-30,Frax Ether,170228.0
1680220800,2023-03-31,Frax Swap,7803.0
1680307200,2023-04-01,Frax Swap,5653.0
1680393600,2023-04-02,Frax Swap,8714.0
1680480000,2023-04-03,Frax Swap,14575.0
1680566400,2023-04-04,Frax Swap,11209.0
1680652800,2023-04-05,Frax Swap,12523.0
1680739200,2023-04-06,Frax Swap,8870.0
1680739200,2023-04-06,Frax Ether,190866.0
1680825600,2023-04-07,Frax Swap,7005.0
1680912000,2023-04-08,Frax Swap,6304.0
1680998400,2023-04-09,Frax Swap,11975.0
1681084800,2023-04-10,Frax Swap,5759.0
1681171200,2023-04-11,Frax Swap,5401.0
1681257600,2023-04-12,Frax Swap,10093.0
1681344000,2023-04-13,Frax Swap,10829.0
1681344000,2023-04-13,Frax Ether,185434.0
1681430400,2023-04-14,Frax Swap,13402.0
1681516800,2023-04-15,Frax Swap,10166.0
1681603200,2023-04-16,Frax Swap,8185.0
1681689600,2023-04-17,Frax Swap,13862.0
1681776000,2023-04-18,Frax Swap,9747.0
1681862400,2023-04-19,Frax Swap,10081.0
1681948800,2023-04-20,Frax Swap,10516.0
1681948800,2023-04-20,Frax Ether,208683.0
1682035200,2023-04-21,Frax Swap,13275.0
1682121600,2023-04-22,Frax Swap,8307.0
1682208000,2023-04-23,Frax Swap,7573.0
1682294400,2023-04-24,Frax Swap,8019.0
1682380800,2023-04-25,Frax Swap,10918.0
1682467200,2023-04-26,Frax Swap,14576.0
1682553600,2023-04-27,Frax Swap,7806.0
1682553600,2023-04-27,Frax Ether,263589.0
1682640000,2023-04-28,Frax Swap,9124.0
1682726400,2023-04-29,Frax Swap,2558.0
1682812800,2023-04-30,Frax Swap,3607.0
1682899200,2023-05-01,Frax Swap,4748.0
1682985600,2023-05-02,Frax Swap,3013.0
1683072000,2023-05-03,Frax Swap,9256.0
1683158400,2023-05-04,Frax Swap,7234.0
1683158400,2023-05-04,Frax Ether,289578.0
1683244800,2023-05-05,Frax Swap,4336.0
1683331200,2023-05-06,Frax Swap,4360.0
1683417600,2023-05-07,Frax Swap,4898.0
1683504000,2023-05-08,Frax Swap,11818.0
1683590400,2023-05-09,Frax Swap,5599.0
1683676800,2023-05-10,Frax Swap,8321.0
1683763200,2023-05-11,Frax Swap,14692.0
1683763200,2023-05-11,Frax Ether,441420.0
1683849600,2023-05-12,Frax Swap,7565.0
1683936000,2023-05-13,Frax Swap,5013.0
1684022400,2023-05-14,Frax Swap,3409.0
1684108800,2023-05-15,Frax Swap,5681.0
1684195200,2023-05-16,Frax Swap,7911.0
1684281600,2023-05-17,Frax Swap,6956.0
1684368000,2023-05-18,Frax Swap,6162.0
1684368000,2023-05-18,Frax Ether,333752.0
1684454400,2023-05-19,Frax Swap,3212.0
1684540800,2023-05-20,Frax Swap,3261.0
1684627200,2023-05-21,Frax Swap,3368.0
1684713600,2023-05-22,Frax Swap,6098.0
1684800000,2023-05-23,Frax Swap,6129.0
1684886400,2023-05-24,Frax Swap,4162.0
1684972800,2023-05-25,Frax Swap,2611.0
1684972800,2023-05-25,Frax Ether,284987.0
1685059200,2023-05-26,Frax Swap,3054.0
1685145600,2023-05-27,Frax Swap,1562.0
1685232000,2023-05-28,Frax Swap,2430.0
1685318400,2023-05-29,Frax Swap,2013.0
1685404800,2023-05-30,Frax Swap,4710.0
1685491200,2023-05-31,Frax Swap,3762.0
1685577600,2023-06-01,Frax Swap,2909.0
1685577600,2023-06-01,Frax Ether,291375.0
1685664000,2023-06-02,Frax Swap,4220.0
1685750400,2023-06-03,Frax Swap,3029.0
1685836800,2023-06-04,Frax Swap,2045.0
1685923200,2023-06-05,Frax Swap,9254.0
1686009600,2023-06-06,Frax Swap,6246.0
1686096000,2023-06-07,Frax Swap,3152.0
1686182400,2023-06-08,Frax Swap,2760.0
1686182400,2023-06-08,Frax Ether,268227.0
1686268800,2023-06-09,Frax Swap,2761.0
1686355200,2023-06-10,Frax Swap,20570.0
1686441600,2023-06-11,Frax Swap,5141.0
1686528000,2023-06-12,Frax Swap,5670.0
1686614400,2023-06-13,Frax Swap,3531.0
1686700800,2023-06-14,Frax Swap,6424.0
1686787200,2023-06-15,Frax Swap,4273.0
1686787200,2023-06-15,Frax Ether,263515.0
1686873600,2023-06-16,Frax Swap,11933.0
1686960000,2023-06-17,Frax Swap,8350.0
1687046400,2023-06-18,Frax Swap,3419.0
1687132800,2023-06-19,Frax Swap,6852.0
1687219200,2023-06-20,Frax Swap,6921.0
1687305600,2023-06-21,Frax Swap,8295.0
1687392000,2023-06-22,Frax Swap,7866.0
1687392000,2023-06-22,Frax Ether,306139.0
1687478400,2023-06-23,Frax Swap,7508.0
1687564800,2023-06-24,Frax Swap,3979.0
1687651200,2023-06-25,Frax Swap,4823.0
1687737600,2023-06-26,Frax Swap,9994.0
1687824000,2023-06-27,Frax Swap,4019.0
1687910400,2023-06-28,Frax Swap,4345.0
