title,votes,quorum,proposal_link
[FIP - 370] Authorize Fraxlend AMO for new pair on Fraxtal ( sfrxETH/FRAX ),13,414%,https://snapshot.box/#/s:frax.eth/proposal/0xd8bb3b7abd0ecd575e27c73e9624bad4db76a03397cbf5956aed53f7f5b896e9
[FIP - 369] Authorize Fraxlend AMO for new pair on Fraxtal ( FXS/FRAX ),13,414%,https://snapshot.box/#/s:frax.eth/proposal/0x505fac412172cd89d98b4fc563e5e5a5b7af8acaa5b24df4a06c79b44fec3e7a
[FIP - 368] Create Balancer AMO on Fraxtal,15,102%,https://snapshot.box/#/s:frax.eth/proposal/0xf13d165cd6ee7eeebe6c43dd8d1316b1994e076499080f6436e3867aca650ab0
[FIP - 367] Authorize Fraxlend AMO for a new pair ( cbETH/FRAX ),9,397%,https://snapshot.box/#/s:frax.eth/proposal/0x8097c20a38596910d9a3b4a1235c3ab153b1b4df899477c8213649adb8213d86
[FIP - 366] Authorize Fraxlend AMO for a new pair ( MATIC/FRAX ),11,397%,https://snapshot.box/#/s:frax.eth/proposal/0x4c12ed1c9b036ba95ca61d0fc0378b369426654c5b3952b3f1dea253d149d194
[FIP - 365] Allocate FRAX as initial liquidity for Octopool (Symbiosis cross-chain pool),14,0.0521%,https://snapshot.box/#/s:frax.eth/proposal/0xbcab3e5db0347169c33f5188a11f7ae8f340b59d715aff9107fa5a0b73e6c1e7
[FIP - 364] Add a new market into Fraxlend on Ethereum (wOETH/frxETH),17,422%,https://snapshot.box/#/s:frax.eth/proposal/0x54a5576389dcd8b807c0f90bcd22c7e1a192b37a1aaabb5aa508cf12fcb717a7
[FIP - 363] Fraxlend Pilot Program with Oval on sUSDe/FRAX and USDe/FRAX,17,401%,https://snapshot.box/#/s:frax.eth/proposal/0x2a3bc0a1bf1f2787e8d6ebb7464bd8cf31baf3b429d7f5849ba006d486c0f00b
[FIP - 362] Velodrome on Fraxtal - Proposal for Incentives for Liquidity Growth,30,404%,https://snapshot.box/#/s:frax.eth/proposal/0x93ea9828a74a4b70bab70b1f0e352bb4c20e69f71a87cdaa5708927e198a2957
[FIP - 361] Integrate RedStone sfrxETH / ETH Price Feed into Fraxlend on Ethereum,17,402%,https://snapshot.box/#/s:frax.eth/proposal/0xe394dfa5754cd95061d4902d43bbef130b881029d3d24862d3f3f917b25ba77d
[FIP - 360] Authorize Fraxlend AMO for a new pair (sDOLA/FRAX - Variable Rate),24,403%,https://snapshot.box/#/s:frax.eth/proposal/0x1d6433afd71f8bcb06c831cb9248df4592a40eb6dc34a2075e3c459ed0a48575
[FIP - 359] Add Re7 FRAX on Ethereum to the FXS Gauge Controller,21,405%,https://snapshot.box/#/s:frax.eth/proposal/0x93b39a7741add8bbac610489d20cc41f269f52ecf3ca8307e89e4acd09c5fa5c
[FIP - 358] Authorize Strategic POL frxETH/ETH L1 Allocation to YieldNest's ynETH 7x booster vault,15,423%,https://snapshot.box/#/s:frax.eth/proposal/0x9b58407d3ff44afb0c4ed6f69d031b6c9d0719f949e2a50a677ecf41f2c2a70b
[FIP - 357] Launching a new FXB and Authorizing Fraxlend AMO for new pair ( FXB_20551231 ),11,410%,https://snapshot.box/#/s:frax.eth/proposal/0x902dc2af6042557d8eb791028e8bbbc028dc686ce05a7160cb87bb3fc15e5ad6
[FIP - 356] Launching a new FXB and Authorizing Fraxlend AMO for new pair ( FXB_20291231 ),10,410%,https://snapshot.box/#/s:frax.eth/proposal/0x2860986087e9ecd3539bd8f82080270eb87ff5cb65124d4601e9e02fc9dc4f86
[FIP - 355] Launching a new FXB and Authorizing Fraxlend AMO for new pair ( FXB_20251231 ),10,410%,https://snapshot.box/#/s:frax.eth/proposal/0x59d4d2c7bb5d4f4f2701122340687bacae05733971f344cbf85ffcc8cf527df4
[FIP - 354] Add Aave V3 aEthFRAX on Ethereum to the FXS Gauge Controller,29,0.723%,https://snapshot.box/#/s:frax.eth/proposal/0xa0214dea71b73b9ed4b99d40d03f274bd4cb424f7ca7d5105457c867f0acd1fd
"[FIP - 353] Shut down Convex rETH/frxETH for an 8,300 FRAX fee",24,411%,https://snapshot.box/#/s:frax.eth/proposal/0xe4a23182e186a769eb45bed5eef6f5c12271b7dec38025fce72efe7d411fba45
"[FIP - 352] Authorize lending AMO for new pairs on Morpho Blue ( sUSDe/FRAX, USDe/FRAX )",29,411%,https://snapshot.box/#/s:frax.eth/proposal/0x3c3400cd2623b4fad836072bcab96068999d1bf78a61e9387e5f1f8e872546b6
[FIP - 351] Add a new markets into Fraxlend on Ethereum & Fraxtal (rsETH/frxETH),34,416%,https://snapshot.box/#/s:frax.eth/proposal/0xc39d662e0df69eb0d98adb48f10e27dc2bf09e249fd100bf28d4f2d13c58ea2c
[FIP - 350] Add a new markets into Fraxlend on Ethereum & Fraxtal (ezETH/frxETH),29,413%,https://snapshot.box/#/s:frax.eth/proposal/0xf45f9ca9b2c0bdc3f3aff43685963561741df76cfa7930ef858bc09ad11bb6f3
